Time,Ax,Ay,Az
10.56,-12972,5480,13152
10.58,-13008,5564,13212
10.6,-13060,5544,13268
10.62,-13184,5540,13400
10.64,-13124,5352,13132
10.66,-12956,5480,13116
10.68,-13008,5460,13316
10.7,-12936,5388,13384
10.72,-12772,5328,13340
10.74,-12924,5404,13424
10.76,-13076,5392,13368
10.78,-12976,5572,13288
10.8,-13120,5464,13164
10.82,-13152,5568,13112
10.84,-12940,5520,13344
10.86,-13084,5472,13260
10.88,-12908,5404,13372
10.9,-13084,5412,13204
10.92,-13132,5568,13340
10.94,-13104,5488,13316
10.96,-13100,5492,13280
10.98,-13012,5580,13328
11.0,-12964,5476,13224
11.02,-13064,5504,13360
11.04,-13068,5456,13412
11.06,-13092,5468,13276
11.08,-13112,5536,13180
11.1,-13068,5476,13224
11.12,-13080,5456,13220
11.14,-13096,5496,13300
11.16,-13116,5624,13356
11.18,-13196,5564,13400
11.2,-13036,5412,13124
11.22,-12828,5472,13172
11.24,-12996,5472,13244
11.26,-13180,5560,13500
11.28,-13100,5628,13328
11.3,-13020,5700,13176
11.32,-13108,5640,13172
11.34,-13084,5572,13268
11.36,-13156,5580,13448
11.38,-13028,5448,13164
11.4,-12916,5336,13280
11.42,-12964,5468,13196
11.44,-13092,5524,13348
11.46,-13152,5480,13392
11.48,-13052,5460,13388
11.5,-12940,5432,13248
11.52,-12868,5536,13072
11.54,-13044,5536,13416
11.56,-12948,5412,13404
11.58,-13064,5372,13224
11.6,-12968,5460,13284
11.62,-12944,5464,13112
11.64,-12940,5428,13396
11.66,-12992,5444,13440
11.68,-12948,5560,13412
11.7,-13048,5348,13312
11.72,-13020,5404,13148
11.74,-13008,5424,13204
11.76,-13076,5532,13224
11.78,-13064,5444,13412
11.8,-13136,5516,13384
11.82,-13036,5452,13164
11.84,-13152,5416,13228
11.86,-12988,5468,13448
11.88,-12984,5504,13220
11.9,-13220,5548,13252
11.92,-13052,5492,13340
11.94,-13140,5460,13260
11.96,-13072,5292,13288
11.98,-13072,5404,13296
12.0,-13164,5536,13460
12.02,-12968,5456,13204
12.04,-13004,5520,13360
12.06,-13144,5536,13288
12.08,-13056,5628,13212
12.1,-13016,5440,13284
12.12,-13004,5408,13232
12.14,-12932,5444,13288
12.16,-12904,5412,13188
12.18,-12992,5376,13308
12.2,-13172,5524,13392
12.22,-13144,5576,13388
12.24,-13060,5532,13164
12.26,-12976,5316,13204
12.28,-12944,5372,13268
12.3,-12876,5532,13364
12.32,-13072,5560,13532
12.34,-13076,5672,13608
12.36,-13020,5508,13420
12.38,-13152,5456,13408
12.4,-12900,5548,13448
12.42,-12960,5412,13332
12.44,-12800,5260,13276
12.46,-13088,5548,13708
12.48,-12972,5568,13788
12.5,-12896,5488,13596
12.52,-12788,5336,13556
12.54,-12752,5208,13724
12.56,-12536,5276,13752
12.58,-12784,5360,14008
12.6,-12832,5564,13820
12.62,-12760,5596,13956
12.64,-12684,5572,14116
12.66,-12600,5448,14176
12.68,-12692,5420,14184
12.7,-12796,5452,14320
12.72,-13004,5304,14260
12.74,-12912,5436,14616
12.76,-12912,5284,14492
12.78,-12928,5080,14540
12.8,-12712,5172,14440
12.82,-12592,5304,14392
12.84,-12316,5304,14432
12.86,-11772,5388,14680
12.88,-11448,5464,14888
12.9,-11396,5368,14980
12.92,-11452,5480,14948
12.94,-11136,5500,14988
12.96,-11060,5472,15248
12.98,-10824,5616,15700
13.0,-10728,5616,15796
13.02,-10812,5592,16100
13.04,-10760,5820,16232
13.06,-11068,5784,16416
13.08,-10880,5864,16484
13.1,-10652,5880,16816
13.12,-10396,5956,17228
13.14,-10136,5804,17216
13.16,-9736,5816,17204
13.18,-9124,5684,17192
13.2,-9092,5696,17432
13.22,-8432,5636,17252
13.24,-8344,5628,17320
13.26,-8324,5780,17652
13.28,-7800,5516,17976
13.3,-7792,5172,18368
13.32,-8320,4836,18460
13.34,-8572,4892,18192
13.36,-7748,4932,17884
13.38,-7256,5000,17704
13.4,-7240,5292,17868
13.42,-7756,5460,17920
13.44,-8008,5628,18080
13.46,-7620,5268,18144
13.48,-7096,4760,17720
13.5,-6720,5400,17948
13.52,-7996,4968,18604
13.54,-8656,5084,17868
13.56,-7960,5052,17752
13.58,-7584,4752,17148
13.6,-7592,4184,17200
13.62,-7556,3548,17564
13.64,-7116,3220,18068
13.66,-8388,2612,17644
13.68,-8812,2444,17956
13.7,-7084,3324,18688
13.72,-6176,3968,19496
13.74,-4680,4760,20416
13.76,-1624,5900,21396
13.78,-508,6136,21780
13.8,-316,6544,21688
13.82,-788,6212,22240
13.84,392,7000,22456
13.86,884,6480,23136
13.88,-256,7480,24056
13.9,-4568,10224,24976
13.92,-10060,7424,25984
13.94,-3080,11788,25012
13.96,1980,12300,22944
13.98,468,10636,20372
14.0,-1912,8660,19060
14.02,-1600,7652,18512
14.04,-1212,6772,17600
14.06,-1860,4492,16440
14.08,-3224,2788,16844
14.1,-3500,2344,17488
14.12,-2188,1604,18308
14.14,-1024,1576,17076
14.16,-1256,604,15008
14.18,-2304,-784,14536
14.2,-1960,-1356,14704
14.22,-2924,-956,16096
14.24,-2700,-1256,15584
14.26,-2036,-2176,14776
14.28,-4580,-1576,14104
14.3,-8660,-1108,14548
14.32,-15268,-2128,17008
14.34,-10480,-3080,17212
14.36,-5816,456,17240
14.38,-5576,1560,14964
14.4,-7532,1096,11792
14.42,-10168,1660,11720
14.44,-9832,5924,13072
14.46,-8876,6188,12676
14.48,-10656,5784,11980
14.5,-15700,6428,11236
14.52,-18212,2420,17292
14.54,-16948,8256,21684
14.56,-13740,10232,25804
14.58,-13416,12004,26972
14.6,-4688,13964,26008
14.62,1260,12428,22732
14.64,2392,11632,19860
14.66,-440,11836,22772
14.68,-3828,11948,23332
14.7,-7108,11272,19000
14.72,-7656,11176,13004
14.74,-8968,12088,10668
14.76,-10916,12424,11936
14.78,-8052,13364,14664
14.8,-7376,13916,14008
14.82,-8596,14736,13864
14.84,-9052,14840,12716
14.86,-6752,15284,12580
14.88,-7008,13560,11568
14.9,-8880,12568,10680
14.92,-9316,13472,10744
14.94,-6220,12468,10836
14.96,-8200,13248,10540
14.98,-7420,13668,11204
15.0,-7368,13524,11152
15.02,-7872,13836,10716
15.04,-8044,13300,10912
15.06,-8388,13152,11508
15.08,-8212,13232,12756
15.1,-7296,13324,13512
15.12,-6884,14128,13084
15.14,-6736,13452,13176
15.16,-6772,13324,13480
15.18,-5576,13376,13864
15.2,-6500,12764,11844
15.22,-6356,12512,13300
15.24,-5944,13064,14484
15.26,-5416,13468,13876
15.28,-5964,14096,13328
15.3,-4260,14136,14124
15.32,-4220,14428,14452
15.34,-5032,13576,12108
15.36,-4548,14100,11676
15.38,-4828,14108,12152
15.4,-4156,13488,12936
15.42,-3280,14324,13060
15.44,-3896,15324,11668
15.46,-3872,15176,11196
15.48,-2204,14784,11252
15.5,-404,13344,11884
15.52,-1424,13012,12648
15.54,-3068,14020,13156
15.56,-3088,14252,14120
15.58,-3356,14584,14072
15.6,-1848,14368,13212
15.62,-1180,15244,12716
15.64,-500,16000,12392
15.66,60,14488,11428
15.68,-1344,14296,11240
15.7,-2228,14428,11784
15.72,-2012,15592,12528
15.74,-1796,15984,12584
15.76,-652,17008,12260
15.78,2724,16680,12168
15.8,3172,15716,11112
15.82,256,15260,10292
15.84,-1596,14836,9616
15.86,-1632,15884,10476
15.88,-1980,17012,11900
15.9,-1552,17596,12976
15.92,352,18340,13992
15.94,2304,17644,11400
15.96,1652,15868,10144
15.98,60,16504,11096
16.0,-3068,17080,12820
16.02,-6668,16744,14276
16.04,-10004,14628,13120
16.06,-10452,13368,10840
16.08,-8808,13464,11476
16.1,-8020,13048,13024
16.12,-11568,11860,14080
16.14,-12052,11188,15000
16.16,-12764,10244,11212
16.18,-8504,9560,9092
16.2,-5096,8832,8464
16.22,-5892,10208,10824
16.24,-5468,12744,12176
16.26,-7116,14036,12036
16.28,-14828,15760,13452
16.3,-13260,14664,12992
16.32,-7336,14660,12108
16.34,-6320,13216,13292
16.36,-7712,13436,13716
16.38,-5252,12088,13200
16.4,-2560,9696,12724
16.42,-1840,7644,12948
16.44,-4368,7432,13616
16.46,-7144,8264,14120
16.48,-7444,8100,13024
16.5,-8388,9112,10764
16.52,-10272,8692,8072
16.54,-7404,8724,7632
16.56,-2040,11500,9880
16.58,-16,13736,13240
16.6,-280,14064,13556
16.62,-764,13836,13836
16.64,-2316,12712,15560
16.66,-4820,15252,17764
16.68,-8312,14188,19260
16.7,-9304,15256,20344
16.72,-6232,13812,20348
16.74,-6136,13696,15228
16.76,-6716,14540,11512
16.78,-6440,14456,9444
16.8,-4460,14392,8660
16.82,-736,15292,11472
16.84,2744,15828,13972
16.86,2124,16420,13828
16.88,-644,16864,11300
16.9,-2216,17160,10056
16.92,-4276,17736,9588
16.94,-4696,15904,8132
16.96,-3444,14840,6952
16.98,-3496,15288,8068
17.0,-3660,13480,10032
17.02,-9412,14972,11312
17.04,-8584,13384,11268
17.06,-5704,12772,10732
17.08,-5908,14128,6808
17.1,-4780,16768,4232
17.12,-3948,20084,8092
17.14,236,19848,6084
17.16,-1496,17832,1888
17.18,-1960,17900,472
17.2,-2540,18372,3128
17.22,-728,17052,3928
17.24,968,15924,1824
17.26,-1344,17504,-548
17.28,1660,19308,-3084
17.3,-1836,19728,1616
17.32,-72,21000,1584
17.34,-3416,23400,3604
17.36,-152,23592,2164
17.38,1428,22780,-4408
17.4,2056,24872,-5268
17.42,1704,26440,-2952
17.44,1148,26232,-1556
17.46,-3824,23856,2016
17.48,3388,22280,1992
17.5,8836,21012,1536
17.52,8988,19776,2044
17.54,7968,19288,1392
17.56,9784,18096,620
17.58,7800,16508,1380
17.6,2828,16184,2104
17.62,-1116,17296,1756
17.64,-3040,16948,1620
17.66,-2896,16260,2148
17.68,-2868,15856,2996
17.7,-2856,15964,3872
17.72,-2228,17088,3524
17.74,-1260,16888,2940
17.76,-1616,15488,2524
17.78,-2908,15016,2704
17.8,-3384,15004,2800
17.82,-2484,14184,2992
17.84,-2180,13408,3468
17.86,-2864,14196,4108
17.88,-2844,14700,4048
17.9,-1920,13500,3864
17.92,-1904,11752,3772
17.94,-3580,10768,3996
17.96,-5960,10544,4508
17.98,-7928,10676,4876
18.0,-9152,10916,5512
18.02,-9344,11228,5884
18.04,-8940,11188,6276
18.06,-8736,11096,6492
18.08,-9096,11156,6708
18.1,-8888,11044,6824
18.12,-8228,10352,6472
18.14,-7860,9468,6592
18.16,-8764,9316,7224
18.18,-10624,9296,7780
18.2,-11876,9312,8152
18.22,-12752,9636,8176
18.24,-12400,9892,8164
18.26,-11020,9976,8424
18.28,-9624,9640,8796
18.3,-8664,9080,9028
18.32,-7752,9180,9008
18.34,-7348,9352,8912
18.36,-8264,10192,9224
18.38,-8340,10804,9452
18.4,-7800,12020,9596
18.42,-7056,14948,9292
18.44,-6084,18560,8372
18.46,-4844,21168,7480
18.48,-4832,20928,6848
18.5,-6328,17884,6168
18.52,-8500,14872,6600
18.54,-10892,12732,8340
18.56,-13012,13816,10432
18.58,-12680,17000,10392
18.6,-10124,19852,9436
18.62,-6768,21488,7764
18.64,-5008,21364,6716
18.66,-3748,17712,6716
18.68,-3348,15132,7292
18.7,-4764,14332,7852
18.72,-6408,12916,7932
18.74,-7732,11764,7788
18.76,-8820,11528,7300
18.78,-8904,12164,6896
18.8,-7556,12592,7312
18.82,-6240,12704,7888
18.84,-5836,13072,8624
18.86,-6072,14196,8564
18.88,-6708,15192,7980
18.9,-7120,15048,7616
18.92,-7684,14580,7616
18.94,-8216,14532,8708
18.96,-8448,14196,9280
18.98,-8300,14112,9548
19.0,-8760,14564,10116
19.02,-9244,15112,10612
19.04,-9084,15656,10972
19.06,-8396,16008,11052
19.08,-7852,16884,11048
19.1,-8144,19112,11748
19.12,-8704,21132,12964
19.14,-8756,21544,13764
19.16,-7904,19724,13268
19.18,-6596,17824,11992
19.2,-5968,17356,11456
19.22,-6064,19220,11596
19.24,-5624,20776,12096
19.26,-5100,21644,11632
19.28,-5096,21496,10544
19.3,-5508,20336,9848
19.32,-5636,19464,9048
19.34,-5384,18328,8840
19.36,-5380,17436,7876
19.38,-5288,16716,7920
19.4,-5148,16356,7244
19.42,-4884,15156,6580
19.44,-5112,13668,6016
19.46,-5432,12508,5868
19.48,-6164,12648,6748
19.5,-5988,12728,7236
19.52,-5156,12464,7364
19.54,-4344,11980,7120
19.56,-4112,12088,7020
19.58,-4284,12668,7160
19.6,-4116,12404,7152
19.62,-4012,11556,7276
19.64,-4464,10752,7728
19.66,-4820,10828,8208
19.68,-4564,12216,8208
19.7,-4764,14704,8192
19.72,-4740,15572,7600
19.74,-4816,15876,7436
19.76,-5852,16376,7612
19.78,-7340,16280,8460
19.8,-7792,16468,9580
19.82,-7700,18336,10120
19.84,-7268,20256,9692
19.86,-6448,21180,8564
19.88,-5716,22616,7036
19.9,-5356,23684,6324
19.92,-5360,22336,6448
19.94,-6740,20040,6488
